,genres
6364,Pop
9959,Electronic
682,Rock
36705,Indie
11790,Rock
13446,Rock
40496,Pop
15351,Indie
25378,Electronic
5444,Pop
16537,Electronic
8245,Rock
22320,Pop
17292,Electronic
31603,Rock
49945,Electronic
12047,Rock
36288,Rock
15118,Rap
12293,Rock
15886,Electronic
37817,Rock
21173,Pop
39640,Rock
37594,Electronic
51101,Rap
29949,Electronic
14240,Pop
19879,Rock
28467,Indie
49233,Indie
30764,Electronic
32223,Rock
50198,Rock
26624,Pop
31593,Rock
31319,Pop
51237,Rap
22886,Electronic
20677,Rap
10585,Indie
45235,Pop
41278,Pop
38042,Rock
27838,Pop
39812,Rap
35472,Electronic
3345,Pop
10325,Pop
48142,Rock
2380,Rock
51616,Rap
25518,Electronic
49639,Indie
1795,Pop
40281,Electronic
25248,Electronic
13757,Indie
26857,Indie
25076,Electronic
27952,Electronic
13457,Rock
36536,Pop
41627,Rock
16742,Electronic
7193,Electronic
1261,Pop
27709,Pop
36251,Rock
46198,Rock
21089,Pop
41900,Pop
8406,Rock
9894,Electronic
37289,Pop
35609,Indie
34201,Rock
5373,Pop
50515,Rock
47774,Electronic
44936,Indie
24642,Pop
18289,Pop
8946,Indie
7812,Rock
26038,Pop
42225,Indie
30077,Pop
19600,Rock
26104,Pop
4578,Pop
17977,Rock
5699,Pop
46405,Pop
27468,Pop
33579,Rap
28210,Indie
18748,Electronic
31715,Rock
14242,Pop
22745,Electronic
34108,Rock
2289,Rock
30440,Pop
10784,Indie
21080,Pop
51310,Rap
13412,Rock
6144,Pop
48685,Indie
14579,Rock
5330,Pop
38526,Rap
21534,Pop
45230,Pop
17318,Electronic
48304,Rock
7645,Electronic
24895,Pop
4472,Pop
6648,Pop
25471,Electronic
39545,Indie
44590,Rock
5073,Pop
41930,Pop
8784,Indie
34222,Electronic
34111,Rock
35735,Pop
4461,Pop
41028,Pop
2215,Rock
50078,Rock
21900,Pop
43635,Indie
47973,Electronic
14346,Rock
47217,Electronic
13115,Rock
26000,Pop
11943,Rock
7331,Electronic
3915,Pop
463,Rock
39140,Pop
5290,Pop
20443,Rap
7659,Electronic
33809,Indie
50582,Rock
25458,Electronic
28449,Indie
27727,Pop
5982,Rock
51557,Rap
26097,Pop
32950,Indie
27824,Pop
2207,Rock
44712,Indie
20472,Rap
47304,Indie
1054,Pop
3180,Pop
35198,Pop
46539,Pop
8037,Rock
36223,Rock
12460,Rock
39413,Indie
2693,Rock
18296,Pop
12979,Rock
33214,Electronic
7140,Electronic
887,Indie
4573,Pop
12323,Rock
34457,Indie
16791,Electronic
30063,Pop
51419,Rock
37868,Indie
46102,Pop
6098,Pop
9092,Indie
24675,Pop
4838,Pop
39948,Rock
31517,Rap
37242,Pop
2171,Pop
46913,Pop
8621,Indie
44391,Indie
4521,Pop
15075,Rap
24199,Pop
4920,Pop
3394,Pop
36566,Rap
1132,Pop
35780,Pop
51773,Pop
8786,Indie
3854,Pop
30321,Indie
27145,Electronic
44068,Pop
43399,Indie
35992,Indie
43417,Indie
2545,Rock
6049,Rock
49539,Rock
21009,Pop
26027,Pop
706,Rock
49846,Electronic
6466,Pop
1699,Pop
50532,Rock
46699,Pop
1679,Pop
36563,Rap
30821,Electronic
38533,Rap
19972,Rock
17091,Electronic
6691,Pop
30996,Indie
24242,Pop
23254,Indie
35343,Indie
2503,Rock
27770,Pop
28714,Electronic
8047,Rock
26088,Pop
32571,Rock
51879,Pop
23900,Indie
9016,Indie
13328,Rock
34919,Pop
5529,Pop
1448,Pop
51200,Rap
47462,Indie
1045,Pop
7382,Electronic
33353,Rock
26982,Rock
46092,Pop
45513,Pop
38630,Rap
13772,Indie
28796,Electronic
30585,Electronic
26147,Pop
31288,Rock
11858,Rock
10721,Indie
9621,Electronic
6148,Pop
27831,Pop
33669,Rap
13566,Rock
32466,Electronic
30945,Indie
9789,Electronic
18243,Pop
42798,Pop
45065,Rock
29834,Electronic
2712,Rock
2806,Rock
8778,Indie
10792,Indie
12777,Rock
27122,Electronic
34900,Pop
15162,Rap
11001,Indie
33570,Rap
9195,Pop
10893,Indie
425,Rock
27425,Rock
9058,Indie
48826,Pop
25142,Electronic
39887,Rap
44854,Indie
31580,Rock
33663,Rap
1841,Pop
3146,Pop
46121,Pop
34062,Rock
21952,Pop
41772,Pop
32198,Rock
32360,Electronic
19744,Rock
31338,Pop
45821,Indie
27534,Pop
45115,Rock
45734,Indie
12852,Rock
28704,Electronic
22326,Pop
25604,Electronic
47052,Pop
13804,Indie
36350,Rock
1614,Pop
1126,Pop
10525,Indie
44354,Rock
7014,Indie
50161,Rock
41353,Indie
47563,Rock
16258,Electronic
11970,Rock
10625,Indie
13823,Indie
11285,Indie
27134,Electronic
35320,Indie
2742,Rock
4497,Pop
48373,Pop
46938,Pop
27262,Electronic
24458,Pop
9575,Electronic
8955,Indie
15097,Rap
12455,Rock
48388,Pop
45625,Electronic
11094,Indie
18231,Pop
15175,Rap
